_entities_1	_entities_2	_entities_3
1007000950	-27	ENVO:00003091
1007000951	-27	ENVO:00003092
1007000952	-27	ENVO:00003093
1007000953	-27	ENVO:00003094
1007000954	-27	ENVO:00003095
1007000956	-27	ENVO:00003097
1007000980	-27	ENVO:00003884
1007001004	-27	ENVO:00003914
1007001007	-27	ENVO:00003927
1007001028	-27	ENVO:00003982
1007001030	-27	ENVO:00004683
1007001032	-27	ENVO:00005739
1007001033	-27	ENVO:00005740
1007001034	-27	ENVO:00005741
1007001035	-27	ENVO:00005742
1007001036	-27	ENVO:00005743
1007001039	-27	ENVO:00005746
1007001040	-27	ENVO:00005747
1007001041	-27	ENVO:00005748
1007001042	-27	ENVO:00005749
1007001043	-27	ENVO:00005750
1007001044	-27	ENVO:00005751
1007001045	-27	ENVO:00005752
1007001046	-27	ENVO:00005753
1007001047	-27	ENVO:00005754
1007001048	-27	ENVO:00005755
1007001049	-27	ENVO:00005756
1007001050	-27	ENVO:00005757
1007001051	-27	ENVO:00005758
1007001052	-27	ENVO:00005759
1007001053	-27	ENVO:00005760
1007001054	-27	ENVO:00005761
1007001055	-27	ENVO:00005762
1007001056	-27	ENVO:00005763
1007001057	-27	ENVO:00005764
1007001058	-27	ENVO:00005765
1007001059	-27	ENVO:00005766
1007001060	-27	ENVO:00005767
1007001061	-27	ENVO:00005768
1007001062	-27	ENVO:00005769
1007001063	-27	ENVO:00005770
1007001064	-27	ENVO:00005771
1007001065	-27	ENVO:00005772
1007001066	-27	ENVO:00005773
1007001067	-27	ENVO:00005774
1007001068	-27	ENVO:00005775
1007001069	-27	ENVO:00005776
1007001070	-27	ENVO:00005777
1007001071	-27	ENVO:00005778
1007001074	-27	ENVO:00005781
1007001075	-27	ENVO:00005782
1007001076	-27	ENVO:00005783
1007001077	-27	ENVO:00005784
1007001078	-27	ENVO:00005785
1007001079	-27	ENVO:00005786
1007001080	-27	ENVO:00005787
1007001082	-27	ENVO:00005789
1007001083	-27	ENVO:00005790
1007001085	-27	ENVO:00005792
1007001086	-27	ENVO:00005793
1007001087	-27	ENVO:00005794
1007001088	-27	ENVO:00005795
1007001089	-27	ENVO:00005796
1007001090	-27	ENVO:00005797
1007001091	-27	ENVO:00005798
1007001092	-27	ENVO:00005799
1007001093	-27	ENVO:00005800
1007001094	-27	ENVO:00005801
1007001095	-27	ENVO:00005802
1007001096	-27	ENVO:00005803
1007001105	-27	ENVO:00009686
1007001106	-27	ENVO:00009725
1007001107	-27	ENVO:00009726
1007001108	-27	ENVO:00010358
1007001112	-27	ENVO:00010505
1007001120	-27	ENVO:00012408
1007001121	-27	ENVO:00012411
1007001123	-27	ENVO:0010001
1007001283	-27	ENVO:0010162
1007001284	-27	ENVO:0010163
1007001293	-27	ENVO:01000000
1007001294	-27	ENVO:01000001
1007001295	-27	ENVO:01000002
1007001297	-27	ENVO:01000004
1007001298	-27	ENVO:01000005
1007001300	-27	ENVO:01000007
1007001301	-27	ENVO:01000008
1007001310	-27	ENVO:01000017
1007001311	-27	ENVO:01000018
1007001312	-27	ENVO:01000019
1007001313	-27	ENVO:01000020
1007001315	-27	ENVO:01000022
1007001316	-27	ENVO:01000023
1007001317	-27	ENVO:01000024
1007001318	-27	ENVO:01000025
1007001319	-27	ENVO:01000026
1007001321	-27	ENVO:01000028
1007001322	-27	ENVO:01000029
1007001323	-27	ENVO:01000030
1007001325	-27	ENVO:01000032
1007001326	-27	ENVO:01000033
1007001327	-27	ENVO:01000034
1007001328	-27	ENVO:01000035
1007001329	-27	ENVO:01000036
1007001330	-27	ENVO:01000037
1007001331	-27	ENVO:01000038
1007001332	-27	ENVO:01000039
1007001333	-27	ENVO:01000040
1007001334	-27	ENVO:01000041
1007001335	-27	ENVO:01000042
1007001336	-27	ENVO:01000043
1007001337	-27	ENVO:01000044
1007001338	-27	ENVO:01000045
1007001339	-27	ENVO:01000046
1007001340	-27	ENVO:01000047
1007001342	-27	ENVO:01000049
1007001343	-27	ENVO:01000050
1007001344	-27	ENVO:01000051
1007001345	-27	ENVO:01000052
1007001351	-27	ENVO:01000058
1007001352	-27	ENVO:01000059
1007001354	-27	ENVO:01000061
1007001355	-27	ENVO:01000062
1007001356	-27	ENVO:01000063
1007001357	-27	ENVO:01000064
