_names_1	_names_2
1007000143	sides of the stream
1007000143	sides of the streamic
1007000143	sides of the streams
1007000143	stream bank
1007000143	stream bankic
1007000143	stream banks
1007000143	streamside
1007000143	streamsides
1007000144	ENVO:00000143
1007000144	river bank
1007000144	river bankic
1007000144	river banks
1007000144	riverside
1007000144	riversides
1007000145	aquatic
1007000145	aquatic habitat
1007000145	aquatics
1007000145	ENVO:00002030
1007000145	underwater feature
1007000145	underwater features
1007000146	ENVO:00000145
1007000146	ice cap
1007000146	ice capic
1007000146	ice caps
1007000146	ice field
1007000146	ice fields
1007000147	ENVO:00000146
1007000147	snow field
1007000147	snow fields
1007000149	ENVO:00000148
1007000149	rifflar
1007000149	riffle
1007000149	riffles
1007000150	artificial reef
1007000150	artificial reefs
1007000150	ENVO:00000149
1007000151	coral reef
1007000151	coral reefs
1007000151	ENVO:01000049
1007000152	ENVO:00000151
1007000152	sabkha
1007000152	sabkhal
1007000152	sabkhas
1007000153	anabranch
1007000153	anabranches
1007000153	anabranchic
1007000153	ENVO:00000152
1007000154	ENVO:00000153
1007000154	headstream
1007000154	headstreamic
1007000154	headstreams
1007000154	headwater
1007000154	headwaters
1007000154	headwaterses
1007000155	ENVO:00000154
1007000155	flood meadow
1007000155	flood meadows
1007000155	water meadow
1007000155	water meadows
1007000156	cirque
1007000156	cirques
1007000156	cirqueses
1007000156	coomb
1007000156	coombe
1007000156	coombes
1007000156	coombs
1007000156	corrie
1007000156	corries
1007000156	cwm
1007000156	ENVO:00000155
1007000157	desert oasis
1007000157	desert oasises
1007000157	ENVO:00000156
1007000157	OASIS
1007000157	oasises
1007000157	OASISs
1007000158	ENVO:00000157
1007000158	peat cut
1007000158	peat cuts
1007000158	peat cutting
1007000158	peat cuttings
1007000161	ENVO:00000160
1007000161	sisal plantation
1007000161	sisal plantational
1007000161	sisal plantations
1007000162	banana plantation
1007000162	banana plantational
1007000162	banana plantations
1007000162	ENVO:00000161
1007000164	coffee plantation
1007000164	coffee plantational
1007000164	coffee plantations
1007000164	ENVO:00000163
1007000167	atoll
1007000167	atolls
1007000167	ENVO:00000166
1007000167	ISLAND REEF
1007000167	ISLAND REEFs
1007000167	REEF, ISLAND
1007000168	barrier beach
1007000168	barrier beaches
1007000168	barrier beachic
1007000168	bay bar
1007000168	bay baric
1007000168	bay barrier
1007000168	bay barriers
1007000168	bay bars
1007000168	bay head bar
1007000168	bay head baric
1007000168	bay head bars
1007000168	baymouth bar
1007000168	baymouth baric
1007000168	baymouth bars
1007000168	cuspate bar
1007000168	cuspate baric
1007000168	cuspate bars
1007000168	cuspate spit
1007000168	cuspate spits
1007000168	ENVO:00000167
1007000168	longshore bar
1007000168	longshore baric
